ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted

			8800	S	45000		100004778	  2	   2,822,636.09	USD	   2,506,500.85	EUR	  0.85100		 0.88800	SA	           0.00	-104,441.36	-104,441.36
	*				45000				   2,822,636.09	USD	   2,506,500.85	EUR					           0.00	-104,441.36	-104,441.36
		0L	8800	S	80120	80120			           0.00	USD	           0.00	EUR					           0.00	           0.00	           0.00
	*				80120				           0.00	USD	           0.00	EUR					           0.00	           0.00	           0.00
			8800	D	100000	81572	100005883	  1	-49,953.61	USD	-44,673.63	EUR	  0.85100		 0.89430	AB	           0.00	       2,163.18	       2,163.18
			8800	D	100000	81604	9600000259	  1	      70,475.00	USD	      47,640.78	EUR	  0.85100		 0.67600	ZX	           0.00	      12,333.35	      12,333.35
			8800	D	100000	81604	9600000346	  1	-46,285.50	USD	-35,727.90	EUR	  0.85100		 0.77190	ZX	           0.00	-3,661.00	-3,661.00
			8800	D	100000	81836	1800000038	  1	       2,889.41	USD	       2,638.32	EUR	  0.85100		 0.91310	DR	           0.00	-179.44	-179.44
			8800	D	100000	82155	100008366	  1	-32,182.80	USD	-28,781.16	EUR	  0.85100		 0.89430	AB	           0.00	       1,393.64	       1,393.64
			8800	D	100000	82565	1800000187	  1	       6,874.00	USD	       6,008.90	EUR	  0.85100		 0.87415	DR	           0.00	-159.14	-159.14
	*				100000				-48,183.50	USD	-52,894.69	EUR					           0.00	      11,890.59	      11,890.59
			8800	D	100100	2320	2100000706	  2	-21,405.00	AUD	-14,165.49	EUR	  0.67968		 0.66178	ZN	           0.00	-383.15	-383.15
			8800	D	100100	2320	2100000707	  2	-9,205.00	AUD	-6,091.72	EUR	  0.67968		 0.66178	ZN	           0.00	-164.77	-164.77
			8800	D	100100	2320	9600000192	  1	       4,281.00	AUD	       2,923.08	EUR	  0.67968		 0.68280	ZX	           0.00	-13.35	-13.35
			8800	D	100100	2320	9600000193	  1	       1,841.00	AUD	       1,257.04	EUR	  0.67968		 0.68280	ZX	           0.00	-5.74	-5.74
			8800	D	100100	2320	9600000194	  1	       4,281.00	AUD	       2,882.89	EUR	  0.67968		 0.67342	ZX	           0.00	          26.84	          26.84
			8800	D	100100	2320	9600000195	  1	       1,841.00	AUD	       1,239.76	EUR	  0.67968		 0.67342	ZX	           0.00	          11.54	          11.54
			8800	D	100100	2320	9600000197	  1	       4,281.00	AUD	       2,993.96	EUR	  0.67968		 0.69936	ZX	           0.00	-84.23	-84.23
			8800	D	100100	2600	9600000023	  1	       1,427.22	USD	       1,101.68	EUR	  0.85100		 0.77191	ZX	           0.00	         112.88	         112.88
			8800	D	100100	2600	9600000025	  1	     158,525.14	USD	     119,432.50	EUR	  0.85100		 0.75340	ZX	           0.00	      15,472.18	      15,472.18
			8800	D	100100	2600	9600000032	  1	     180,000.00	USD	     159,173.71	EUR	  0.85100		 0.88430	ZX	           0.00	-5,993.95	-5,993.95
			8800	D	100100	290000	8637320882	  1	     246,633.94	USD	     216,421.50	EUR	  0.85100		 0.87750	Y1	           0.00	-6,536.35	-6,536.35
